alpha,m,fitting
5.000000000000022204e-01,-4.999999999999986677e-01,9.225188792438583363e-01
5.000000000000022204e-01,-3.999999999999985789e-01,9.223565500628777558e-01
5.000000000000022204e-01,-2.999999999999984901e-01,9.220446949310951990e-01
5.000000000000022204e-01,-1.999999999999984013e-01,9.215419565409679326e-01
5.000000000000022204e-01,-9.999999999999831246e-02,9.207790788687312267e-01
5.000000000000022204e-01,1.776356839400250465e-15,9.207367833136888002e-01
5.000000000000022204e-01,1.000000000000018652e-01,9.179332494538365861e-01
5.000000000000022204e-01,2.000000000000019540e-01,9.154013153683668857e-01
5.000000000000022204e-01,3.000000000000020428e-01,9.117559608597938237e-01
5.000000000000022204e-01,4.000000000000021316e-01,9.067902214565300989e-01
5.000000000000022204e-01,5.000000000000022204e-01,9.004679902296718330e-01
5.000000000000022204e-01,6.000000000000023093e-01,8.929167750208726329e-01
5.000000000000022204e-01,7.000000000000023981e-01,8.843437767889400503e-01
5.000000000000022204e-01,8.000000000000024869e-01,8.749584119150859429e-01
5.000000000000022204e-01,9.000000000000025757e-01,8.649381770451211038e-01
5.000000000000022204e-01,1.000000000000002665e+00,8.544252650271562111e-01
5.000000000000022204e-01,1.100000000000002753e+00,8.435341393104609509e-01
5.000000000000022204e-01,1.200000000000002842e+00,8.323597925085535199e-01
5.000000000000022204e-01,1.300000000000002931e+00,8.209837328162058467e-01
5.000000000000022204e-01,1.400000000000003020e+00,8.094776781083631301e-01
5.000000000000022204e-01,1.500000000000003109e+00,7.979056354478556434e-01
5.000000000000022204e-01,1.600000000000003197e+00,7.863250002220942836e-01
5.000000000000022204e-01,1.700000000000003286e+00,7.747871191344122277e-01
5.000000000000022204e-01,1.800000000000003375e+00,7.633375949515737169e-01
5.000000000000022204e-01,1.900000000000003464e+00,7.520164951012970889e-01
6.000000000000023093e-01,-2.000000000000000000e+00,8.867720885135952358e-01
6.000000000000023093e-01,-1.899999999999999911e+00,8.868538242752270762e-01
6.000000000000023093e-01,-1.799999999999999822e+00,8.868980139714509603e-01
6.000000000000023093e-01,-1.699999999999999734e+00,8.868960146410028722e-01
6.000000000000023093e-01,-1.599999999999999645e+00,8.868371185763849196e-01
6.000000000000023093e-01,-1.499999999999999556e+00,8.867081200074520275e-01
6.000000000000023093e-01,-1.399999999999999467e+00,8.864928525361723821e-01
6.000000000000023093e-01,-1.299999999999999378e+00,8.861717410394880368e-01
6.000000000000023093e-01,-1.199999999999999289e+00,8.857214451627689611e-01
6.000000000000023093e-01,-1.099999999999999201e+00,8.851147153660884337e-01
6.000000000000023093e-01,-9.999999999999991118e-01,8.843206315773280979e-01
6.000000000000023093e-01,-8.999999999999990230e-01,8.833054346448947491e-01
6.000000000000023093e-01,-7.999999999999989342e-01,8.820341651426739649e-01
6.000000000000023093e-01,-6.999999999999988454e-01,8.804732532173903392e-01
6.000000000000023093e-01,-5.999999999999987566e-01,8.785940124472716439e-01
6.000000000000023093e-01,-4.999999999999986677e-01,8.763766452013679320e-01
6.000000000000023093e-01,-3.999999999999985789e-01,8.738138548379350556e-01
6.000000000000023093e-01,-2.999999999999984901e-01,8.709124883977773512e-01
6.000000000000023093e-01,-1.999999999999984013e-01,8.676908106942974319e-01
6.000000000000023093e-01,-9.999999999999831246e-02,8.641680863567344772e-01
6.000000000000023093e-01,1.776356839400250465e-15,8.403208042227986452e-01
6.000000000000023093e-01,1.000000000000018652e-01,8.561546571637120850e-01
6.000000000000023093e-01,2.000000000000019540e-01,8.514411957220704430e-01
6.000000000000023093e-01,3.000000000000020428e-01,8.459028172813326529e-01
6.000000000000023093e-01,4.000000000000021316e-01,8.391382963873635914e-01
6.000000000000023093e-01,5.000000000000022204e-01,8.307856017725154807e-01
6.000000000000023093e-01,6.000000000000023093e-01,8.207089039320301094e-01
6.000000000000023093e-01,7.000000000000023981e-01,8.090740245369916206e-01
6.000000000000023093e-01,8.000000000000024869e-01,7.962516548756446433e-01
6.000000000000023093e-01,9.000000000000025757e-01,7.826599487496882501e-01
6.000000000000023093e-01,1.000000000000002665e+00,7.686617161057670566e-01
6.000000000000023093e-01,1.100000000000002753e+00,7.545329531201465656e-01
6.000000000000023093e-01,1.200000000000002842e+00,7.404701860381603939e-01
6.000000000000023093e-01,1.300000000000002931e+00,7.266089645400550801e-01
6.000000000000023093e-01,1.400000000000003020e+00,7.130412785753813543e-01
6.000000000000023093e-01,1.500000000000003109e+00,6.998287660619062489e-01
6.000000000000023093e-01,1.600000000000003197e+00,6.870119481296461661e-01
6.000000000000023093e-01,1.700000000000003286e+00,6.746164959977767328e-01
6.000000000000023093e-01,1.800000000000003375e+00,6.626574591319928098e-01
6.000000000000023093e-01,1.900000000000003464e+00,6.511421397784713516e-01
7.000000000000023981e-01,-2.000000000000000000e+00,8.371605173064372574e-01
7.000000000000023981e-01,-1.899999999999999911e+00,8.358138345966227289e-01
7.000000000000023981e-01,-1.799999999999999822e+00,8.343186962952400254e-01
7.000000000000023981e-01,-1.699999999999999734e+00,8.326521585220681976e-01
7.000000000000023981e-01,-1.599999999999999645e+00,8.307886673101309016e-01
7.000000000000023981e-01,-1.499999999999999556e+00,8.287004599730543042e-01
7.000000000000023981e-01,-1.399999999999999467e+00,8.263583157155260928e-01
7.000000000000023981e-01,-1.299999999999999378e+00,8.237327176327617906e-01
7.000000000000023981e-01,-1.199999999999999289e+00,8.207954499818499450e-01
7.000000000000023981e-01,-1.099999999999999201e+00,8.175215951115767377e-01
7.000000000000023981e-01,-9.999999999999991118e-01,8.138918219387876185e-01
7.000000000000023981e-01,-8.999999999999990230e-01,8.098947891359874474e-01
7.000000000000023981e-01,-7.999999999999989342e-01,8.055294419091050262e-01
7.000000000000023981e-01,-6.999999999999988454e-01,8.008069757140854339e-01
7.000000000000023981e-01,-5.999999999999987566e-01,7.957522687561942032e-01
7.000000000000023981e-01,-4.999999999999986677e-01,7.904046142422611609e-01
7.000000000000023981e-01,-3.999999999999985789e-01,7.848175489350570633e-01
7.000000000000023981e-01,-2.999999999999984901e-01,7.790573877738291575e-01
7.000000000000023981e-01,-1.999999999999984013e-01,7.731996370444843558e-01
7.000000000000023981e-01,-9.999999999999831246e-02,7.673217011371483709e-01
7.000000000000023981e-01,1.776356839400250465e-15,7.716411245714873690e-01
7.000000000000023981e-01,1.000000000000018652e-01,7.557330650265132732e-01
7.000000000000023981e-01,2.000000000000019540e-01,7.500130389689941834e-01
7.000000000000023981e-01,3.000000000000020428e-01,7.441733627775963811e-01
7.000000000000023981e-01,4.000000000000021316e-01,7.379052889898943812e-01
7.000000000000023981e-01,5.000000000000022204e-01,7.307587117094214157e-01
7.000000000000023981e-01,6.000000000000023093e-01,7.222500076388714829e-01
7.000000000000023981e-01,7.000000000000023981e-01,7.120564616928081181e-01
7.000000000000023981e-01,8.000000000000024869e-01,7.001782290317831725e-01
7.000000000000023981e-01,9.000000000000025757e-01,6.869352655028938548e-01
7.000000000000023981e-01,1.000000000000002665e+00,6.728153774997414072e-01
7.000000000000023981e-01,1.100000000000002753e+00,6.583063073583789171e-01
7.000000000000023981e-01,1.200000000000002842e+00,6.438012819213988491e-01
7.000000000000023981e-01,1.300000000000002931e+00,6.295774147325745584e-01
7.000000000000023981e-01,1.400000000000003020e+00,6.158115433871461653e-01
7.000000000000023981e-01,1.500000000000003109e+00,6.026060496949862122e-01
7.000000000000023981e-01,1.600000000000003197e+00,5.900122790945322437e-01
7.000000000000023981e-01,1.700000000000003286e+00,5.780482615034108207e-01
7.000000000000023981e-01,1.800000000000003375e+00,5.667110661917862391e-01
7.000000000000023981e-01,1.900000000000003464e+00,5.559850577762580626e-01
8.000000000000024869e-01,-2.000000000000000000e+00,7.578087349647396609e-01
8.000000000000024869e-01,-1.899999999999999911e+00,7.539934421096816664e-01
8.000000000000024869e-01,-1.799999999999999822e+00,7.499310848582503297e-01
8.000000000000024869e-01,-1.699999999999999734e+00,7.456107237944024080e-01
8.000000000000024869e-01,-1.599999999999999645e+00,7.410249173954658319e-01
8.000000000000024869e-01,-1.499999999999999556e+00,7.361707823020879893e-01
8.000000000000024869e-01,-1.399999999999999467e+00,7.310509675724873313e-01
8.000000000000024869e-01,-1.299999999999999378e+00,7.256744345302318377e-01
8.000000000000024869e-01,-1.199999999999999289e+00,7.200569418497587693e-01
8.000000000000024869e-01,-1.099999999999999201e+00,7.142211633018368255e-01
8.000000000000024869e-01,-9.999999999999991118e-01,7.081964105715925495e-01
8.000000000000024869e-01,-8.999999999999990230e-01,7.020179884289006189e-01
8.000000000000024869e-01,-7.999999999999989342e-01,6.957262635627532443e-01
8.000000000000024869e-01,-6.999999999999988454e-01,6.893655697748515276e-01
8.000000000000024869e-01,-5.999999999999987566e-01,6.829830899627474805e-01
8.000000000000024869e-01,-4.999999999999986677e-01,6.766278395325213690e-01
8.000000000000024869e-01,-3.999999999999985789e-01,6.703498158046711231e-01
8.000000000000024869e-01,-2.999999999999984901e-01,6.641992578895427046e-01
8.000000000000024869e-01,-1.999999999999984013e-01,6.582257564084457169e-01
8.000000000000024869e-01,-9.999999999999831246e-02,6.524766285864459503e-01
8.000000000000024869e-01,1.776356839400250465e-15,6.426211085143973545e-01
8.000000000000024869e-01,1.000000000000018652e-01,6.418055119933829822e-01
8.000000000000024869e-01,2.000000000000019540e-01,6.369169515507714374e-01
8.000000000000024869e-01,3.000000000000020428e-01,6.322877696497880562e-01
8.000000000000024869e-01,4.000000000000021316e-01,6.278073325759739864e-01
8.000000000000024869e-01,5.000000000000022204e-01,6.232680398539203193e-01
8.000000000000024869e-01,6.000000000000023093e-01,6.183551098667391388e-01
8.000000000000024869e-01,7.000000000000023981e-01,6.126772889122162891e-01
8.000000000000024869e-01,8.000000000000024869e-01,6.058553598568294785e-01
8.000000000000024869e-01,9.000000000000025757e-01,5.976476607603442570e-01
8.000000000000024869e-01,1.000000000000002665e+00,5.880452880087329026e-01
8.000000000000024869e-01,1.100000000000002753e+00,5.772729365867166340e-01
8.000000000000024869e-01,1.200000000000002842e+00,5.656997770446271501e-01
8.000000000000024869e-01,1.300000000000002931e+00,5.537249763731647567e-01
8.000000000000024869e-01,1.400000000000003020e+00,5.416959691922116349e-01
8.000000000000024869e-01,1.500000000000003109e+00,5.298746286033091391e-01
8.000000000000024869e-01,1.600000000000003197e+00,5.184374223724118602e-01
8.000000000000024869e-01,1.700000000000003286e+00,5.074909363111683724e-01
8.000000000000024869e-01,1.800000000000003375e+00,4.970905230128505048e-01
8.000000000000024869e-01,1.900000000000003464e+00,4.872565764386955767e-01
9.000000000000025757e-01,-2.000000000000000000e+00,6.361282860589616561e-01
9.000000000000025757e-01,-1.899999999999999911e+00,6.303037718548927248e-01
9.000000000000025757e-01,-1.799999999999999822e+00,6.243963769606404313e-01
9.000000000000025757e-01,-1.699999999999999734e+00,6.184350577730480802e-01
9.000000000000025757e-01,-1.599999999999999645e+00,6.124516262989282422e-01
9.000000000000025757e-01,-1.499999999999999556e+00,6.064797538387846076e-01
9.000000000000025757e-01,-1.399999999999999467e+00,6.005538382589740154e-01
9.000000000000025757e-01,-1.299999999999999378e+00,5.947078268333325646e-01
9.000000000000025757e-01,-1.199999999999999289e+00,5.889740905117692993e-01
9.000000000000025757e-01,-1.099999999999999201e+00,5.833824364046003019e-01
9.000000000000025757e-01,-9.999999999999991118e-01,5.779593257051555133e-01
9.000000000000025757e-01,-8.999999999999990230e-01,5.727273384913430521e-01
9.000000000000025757e-01,-7.999999999999989342e-01,5.677048997262288399e-01
9.000000000000025757e-01,-6.999999999999988454e-01,5.629062565349015612e-01
9.000000000000025757e-01,-5.999999999999987566e-01,5.583416780816510272e-01
9.000000000000025757e-01,-4.999999999999986677e-01,5.540178366061910831e-01
9.000000000000025757e-01,-3.999999999999985789e-01,5.499383196135898544e-01
9.000000000000025757e-01,-2.999999999999984901e-01,5.461042147026621274e-01
9.000000000000025757e-01,-1.999999999999984013e-01,5.425146933172740882e-01
9.000000000000025757e-01,-9.999999999999831246e-02,5.391674880192141028e-01
9.000000000000025757e-01,1.776356839400250465e-15,5.330632985084705622e-01
9.000000000000025757e-01,1.000000000000018652e-01,5.331844423772703623e-01
